Names

Ahri

Akali

Alistar

Amumu

Anivia

Annie

Ashe

Azir

Akshan

Aurelion Sol

Aphelios

Blitzcrank

Brand

Braum

Bard

Bel'Veth

Caitlyn

Cassiopeia

Cho'Gath

Corki

Camille

Darius

Diana

Dr. Mundo

Draven

Elise

Evelynn

Ekko

Ezreal

Fiddlesticks

Fiora

Fizz

Galio

Gangplank

Garen

Gnar

Gragas

Graves

Gwen

Hecarim

Heimerdinger

Irelia

Illaoi

Ivern

Janna

Jarvan IV

Jax

Jayce

Jinx

Jhin

Kalista

Karma

Karthus

Kassadin

Katarina

Kindred

Kayle

Kennen

Kha'Zix

Kog'Maw

Kled

Kayn

Kai'sa

K'Sante

LeBlanc

Lee Sin

Leona

Lissandra

Lucian

Lulu

Lux

Lillia

Malphite

Malzahar

Maokai

Master Yi

Milio

Miss Fortune

Mordekaiser

Morgana

Nami

Nasus

Nautilus

Nidalee

Nocturne

Nunu

Nilah

Neeko

Olaf

Orianna

Ornn

Pantheon

Poppy

Pyke

Quinn

Qiyana

Rammus

Rek'Sai

Renata Glasc

Renekton

Rengar

Riven

Rumble

Ryze

Renata

Rell

Rakan

Sejuani

Shaco

Shen

Shyvana

Singed

Sion

Sivir

Skarner

Sona

Soraka

Swain

Syndra

Senna

Sett

Samira

Seraphine

Sylas

Talon

Taric

Teemo

Thresh

Tristana

Trundle

Tryndamere

Twisted Fate

Twitch

Tahm kench

Taliyah

Udyr

Urgot

Varus

Vayne

Veigar

Vel'Koz

Vi

Viktor

Vladimir

Volibear

Vex

Viego

Warwick

Wukong

Xerath

Xin Zhao

Xayah

Yasuo

Yorick

Yuumi

Yone

Zac

Zed

Ziggs

Zilean

Zyra

Zeri

Zoe
